relative_path,manual_chapter,type,pages,source_word_count,integrated_word_count,text_path
Adam Lane Smith/20 Steps Avoidant Falls in Love - Adam Lane Smith.docx,"Evitacion, desorganizacion y miedo a la intimidad",docx,0,9249,4299,/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_20_Steps_Avoidant_Falls_in_Love_-_Adam_Lane_Smith.docx.txt
Adam Lane Smith/Become Securely Attached in 12 Steps - Adam Lane Smith - Transcript.pdf,Fundamentos del apego adulto,pdf,3,1218,170,/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Become_Securely_Attached_in_12_Steps_-_Adam_Lane_Smith_-_Transcript.pdf.txt
Adam Lane Smith/Disorganized Attachment - Adam Lane Smith.docx,Fundamentos del apego adulto,docx,0,5988,2731,/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Disorganized_Attachment_-_Adam_Lane_Smith.docx.txt
Adam Lane Smith/Falling Out of Love - Adam Lane Smith.docx,"Evitacion, desorganizacion y miedo a la intimidad",docx,0,8806,4074,/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Falling_Out_of_Love_-_Adam_Lane_Smith.docx.txt
Adam Lane Smith/Why Therapy Isnt Fixing Attachment - Adam Lane Smith.docx,Fundamentos del apego adulto,docx,0,9882,4543,/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Why_Therapy_Isnt_Fixing_Attachment_-_Adam_Lane_Smith.docx.txt
Balancing Compassion and Boundaries - Transcript.pdf,"Comunicacion, necesidades, limites y compasion",pdf,2,723,157,/Users/pedro/AAQ/output/original_sources/extracted_text/Balancing_Compassion_and_Boundaries_-_Transcript.pdf.txt
Becoming an Emotionally Intelligent Masculine Leader - Connor Beaton - Transcript.pdf,Consejos y principios para hombres / Masculino,pdf,3,1047,83,/Users/pedro/AAQ/output/original_sources/extracted_text/Becoming_an_Emotionally_Intelligent_Masculine_Leader_-_Connor_Beaton_-_Transcript.pdf.txt
"Books/Amir_Levine,_Rachel_Heller-Attached__The_New_Science_of_Adult_Attachment_and_How_It_Can_Help_You_Find_–_and_Keep_–_Love__-Penguin_Group_USA_(2010)[1].pdf",Fundamentos del apego adulto,pdf,268,63933,12282,/Users/pedro/AAQ/output/original_sources/extracted_text/Books_Amir_Levine__Rachel_Heller-Attached__The_New_Science_of_Adult_Attachment_and_How_It_Can_Help_You_Find___and_Keep___Love__-Penguin_Group_USA__2010_1_.pdf.txt
Books/Secure Love Introducciontio .pdf,"Sistema de seguridad, protesta y activacion",pdf,33,15178,1163,/Users/pedro/AAQ/output/original_sources/extracted_text/Books_Secure_Love_Introducciontio_.pdf.txt
HOW TO STOP SETTLING FOR POTENTIAL - Transcript.pdf,"Discernimiento, dating, ruptura y eleccion de pareja",pdf,1,303,303,/Users/pedro/AAQ/output/original_sources/extracted_text/HOW_TO_STOP_SETTLING_FOR_POTENTIAL_-_Transcript.pdf.txt
